label,Question 
valid,Scheduling algorithms in OS. (Implement LRU using choice of your language)
valid,BFS traversal of B Tree.Key is to Stay ultra confident ,smile and try solving each problem with whatever way you know
valid,Find if a string is substring of other string
valid,Write a code to multiply two matrices of dimension M*N and N*K
valid,Write a Sql to perform Matrix Multiplication.Two tables has three columns row,col and value
valid,What is prototype in javascript?
valid,How do we write classes in javascript?
valid,There is a ladder of N steps.We can either take 1 step or 2 steps.In how many different ways one can climb the ladder?
valid,Print a square matrix in spiral order
valid,Given a table with 3 columns StudentName,Subject and Marks.Write a sql to retrieve second highest Marks Obtained for each student
valid,Given a Website with header,footer,side ads(Google ads,Internal ads).How will you extract only useful data from the page
valid,Difference between .live() and .delegate() in jquery
valid,What is chaining in jquery?
valid,What is callback function?
valid,What is .bind() function in jquery?
valid,Find the angle between hour handle and minute handle in a clock
valid,Is it possible to create slideshow without using javascript
invalid,Questions about my current project and academic project
valid,Given two points A and B with distance between them lets say D.there are N men who want to go from point A to point B.All men walk with same speed.They also have one scooter with them which has speed greater than their walking speed.How can they all reach from A to B in minimun finishing time.finishing time is the time when last person reached point B
invalid,Discussion on the design and optimization of the application
valid,Basic DS questions (Eg:which ds to be stored to increase search efficiency \xc3\xa2\xe2\x82\xac\xc2\xa6Ans:B+ tree)
valid,Given two unsorted arrays A and B in which B can accommodate in AHow will you merge the two arrays.Time complexity and space complexity were also given importance
valid,Perimeter of the binary tree in clockwise direction(All kind of possible approachesand efficient approach were discussed)Time complexity and space complexity were also discussed.Second DS Round Skipped
valid,About C++. I wrote it in my CV
valid,Differnece between C++ and Java
valid,Any thing about PPT, you would like to change or say about ?
valid,Tell me something about your projects
valid,Tell me something about yourself?
valid,What was your role in ur project?
valid,Tell me your leadership skills?
invalid,They asked some questions about the event I organized in our college
valid,About family?
valid,Your favorite subject and why?
valid,What is the difference between C and C++?
valid,What is the difference between for and while loop?
valid,Write a program to add two numbers without using + operator
valid,How to you reverse a string without using any looping and inbuilt functions?
valid,How many queues will you use to implement a priority queue?
valid,Which datastructure would you use to implement an heteregenous array?
valid,Tell me about yourself?
valid,Describe your project?
valid,You are given a match-box and two candles of equal size, which can burn 1 hour each. You have to measure 90 minutes with these candles. (There is no scale or clock). How do you do?
valid,You have 8 balls which are identical(completely). You are given a weighing scale. How many times would you measure to get the odd ball out?
valid,Three friends rent a room for Rs.30 by paying Rs.10 each. The owner decides to give them a discount Rs.5 and gives it to the broker. The broker who a cunning man takes Rs.2. and returns one rupee to each of them. So the sum paid by each person would be Rs.9 which adds upto Rs.27 and the broker took Rs.2 ,so the total is Rs.29 where did that Re.1 go?
valid,Inheritence in java?
valid,Overloading and Overridding?
valid,WAP to check if no is palindrom or not?
valid,Primary key and Composite key?
invalid,Normalisation?
valid,Without lifting the pen meet 9 point arranged in squre of 3\xc3\x83\xe2\x80\x943, using 4 lines?
valid,If I am ready to relocate anywhere in India or Outside upon company needs
valid,If I am ready to accept a project in Java, if Sapient had trained you in DotNet earlier
valid,Why I want to join Sapient
invalid,My Expectations from Sapient
valid,What is Counter Strike. ( I mentioned winning a couple of gaming events in my Resume)
valid,What is Trading/Stocks/Exchange. (I had shown my interest in these things by mentioning the development of DalalStreet website by me)
valid,What are you proud of apart from your website DalalStreet and a few more
valid,Why you wanna join company? Why Polaris ? and the regular interview questions :)
invalid,UDP v TCP
invalid,connection less vs connection oriented
invalid,some more basic questions related to networking
valid,6 people, 6 hats some black, others white, standing in a row, how many can identify the hats on their heads, if they can\xc3\xa2\xe2\x82\xac\xe2\x84\xa2t communicate, only make a strategy beforehand
invalid,some more puzzles
invalid,Extracurricular activities
valid,basic questions like analyzing a pen, based on how deep you can think
valid,About yourself?
valid,Experience of the whole day?
valid,Your role in NetApp?
invalid,Extra curricular activities, fests etc.?
valid,Questions, if any?
valid,Topic of interest and why
valid,Explain your internship
valid,8 ball puzzle, 7 have same weight 1 has diff
valid,Same puzzle with 9 balls and optimize it
valid,what does a QA do
invalid,about netapp?
valid,Define IP tables
valid,Write a program to traverse a linked list
valid,Write a program to reverse a linked list. \xc3\xa2\xe2\x80\xa0\xe2\x80\x99 how will you do it if you are allowed to use extra space?
valid,In a knockout football tournament, there are n teams. find total no. of matches to be played to choose the winner of the tournament
valid,Given two nodes of a tree, find their closest ancestor
valid,What is segmentation fault?
valid,If u have a million numbers, how will u find the maximum number from them if \xc3\xa2\xe2\x80\xa0\xe2\x80\x99 the input is given on the fly i.e. the numbers are entered one by one. \xc3\xa2\xe2\x80\xa0\xe2\x80\x99 numbers are given 1000 at a time
valid,For a kernel level process, should the variables be stored in a stack or a heap?
valid,What is internal fragmentation?
valid,Can u compare 2 structure variables in c? why? why not? \xc3\xa2\xe2\x80\xa0\xe2\x80\x99 what is cell padding? why cell padding?
valid,Where are global (initialized + uninitialized) variables and local variables of a program stored?
valid,How is the control of program passed from main() to any other function? where is the return address of main stored?
valid,How to calculate the square root of a number?? note: your compiler does not support math.h
valid,If you have 4 eggs and you are in a 30 floor building, find the lowest floor from which the eggs break when dropped. if on dropping, the egg does not break you can not pick it up again
valid,If u hav a file system which is 95% full and now when new files are created, the os deletes the largest file, find the data structure to be used
valid,If we use a heap in Q6, what will be the disadvantages of that approach
valid,In a unix or linux file system, how is a file path resolved? e.g given path of file: /root/home/mnit/abc.txt, how does an os finds where abc.txt is stored in memory??
valid,Explain about your summer internship? what challenges did u face? \xc3\xa2\xe2\x80\xa0\xe2\x80\x99 if you developed a software, what was the lifecycle model used?
valid,Find an engineering solution to a given social problem
valid,We use cylindrical beaker in our daily life to measure different solutions. we have to bend in front of the beaker to see the level of the solution. find an efficient solution where we dont have to bend to see the level and we are able to see the level as we pour the solution. constraint: if cost of original beaker was 10 rs, the new beaker cannot cost more than 12 rs. hint: think in terms of shape change
valid,What is your experience of the whole day?
valid,What part did you like best in our ppt?
valid,Are you clear about your role in netApp?
valid,What subjects did u like the best in clg? why?
valid,Extra curricular activities in clg?
valid,Any queries about our company or the compensation package etc
valid,Let us assume there are 3 baskets with different number of balls say p,q and r. Every ball has a number written on it. Now, you have to take all those balls and put them back in baskets in sorted way.?(Merge Sort)
valid,What is Mutual Exclusion?
valid,What is multithreading and Difference between process and thread?
valid,What is Semaphore?
valid,There are three threads have been assigned different work. Say, T1 takes 10 sec T2 takes 20sec t3 takes 15sec Now you have to make sure that all threads merge into one and continue as a single thread. How will you wait and all?
valid,Let\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s say you have 100,000 records and you want to delete 95,000 at a time and keep only 5 thousand. But in local memory you don\xc3\xa2\xe2\x82\xac\xe2\x84\xa2t have enough space for 95,000 records. What do you do in this case? How do you delete without any problem with time and performance?
valid,Function \xc3\xa2\xe2\x82\xac\xcb\x9csum\xc3\xa2\xe2\x82\xac\xe2\x84\xa2 which takes arguments, such that if both args are: int : does integer addition float : does float addition string : concatenates them Write a program in \xc3\xa2\xe2\x82\xac\xcb\x9cC\xc3\xa2\xe2\x82\xac\xe2\x84\xa2 that does the same?
valid,Write SQL Query for creating tables?
valid,What about NESTED TABLES?
valid,What are views?
valid,What are views?
invalid,About my projects?
valid,Tell me about yourself
valid,You have an embedded system device. Okay? So you are given some numbers from 1-100 and unique. Now, sort these numbers?
valid,Evaluate Postfix expression?
valid,Where do you see yoyurself in 5 years? et
valid,Why Ebay?
valid,Introduction about me
invalid,Then he asked about my college project. we discussed the OO design for the project
invalid,Then he asked me about my current company\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s latest Invention
invalid,Then he asked me about Virtual memory and some in depth discussion on that
invalid,Then he came to my current project I am working
valid,Then he asked me why are you coming out of my current company??
valid,What do you know about Amdocs ?
valid,Tell about your few quality traits that can let the organization grow?
valid,What all appreciations you have got and for what ?
valid,How is it better from your previous organization?
valid,Why do you want to join Amodocs?
valid,What is your expected salary?
valid,Where do you see yourself after 5 years?
valid,What do you know about TCS ?
valid,Who is the CEO of the company?
valid,How is it better from your previous organization?
valid,Why do you want to join TCS?
valid,What is your expected salary?
valid,Where do you see yourself after 5 years?
valid,Swap two variables without using third variable
valid,There \xc3\xa2\xe2\x82\xac\xcb\x9cs an array with every element repeated twice except one. Find that element
valid,Implement LRU cache
valid,How will you implement State Machine
valid,Design Problem: You have a database of million records, that needs to be acessed for each operation. That database is updated very rarely. And there are multiple processes that queries the database and operates on the values. How will you design this?
valid,How do you write a callback function?
valid,You have the co-ordinates of two rectangles. Find in minimum number of comparisons, if they are overlapping or not
valid,Write code for implementing Tower of Hanoi problem. What data structures you will use? How will you implement the Move function(that moves the disc)
valid,Discussion on Important c++ concepts: Virtual functions, Run time polymorphism, Static polymorphism, Function overloading, Function overriding, Types of cast in C++, Static_cast, Dynamic_cast, difference between new and malloc, Copy constructor, operator overloading, Templates
valid,Program for Anagrams. Different approcahes( hashing, sorting)
valid,Code for first non-repeating character in the string
valid,Least Common Ancestor for n-ary Tree
invalid,About my projects
valid,Puzzle: You have two train carriages situated at a different point on a infinite train track. The carriage can move up and down , and given that they can only know whether the other train has started from this point or not.
valid,Write an algorithm which will make the train carriages meet. The same algorithm should run on both the carriages
valid,virtual functions, auto_ptrs, ordered_map, Hashing, Chaining , Linked list vs array, Inheritance Concepts, static functions, generic programming, Some advanced concepts: CRTP(Curiously Recurring template problem), run time polymorphism
invalid,Deep discussion on the current project in my current company
valid,Deep Discussion on my current role in company, and what will be your role in the company, about the team, about the work. I said that I have other offers in hand, then he said to evaluate the pros and cons of each offer compared. Then he discussed deeply about the current work
invalid,Deep discussion on the current project in my current company
valid,Use of Static keyword in different circumstances
valid,Tell me about yourself
valid,U are a electrical engineer then how could you prove your interest in softwere field?
valid,What are your future plans?
valid,some simple c questions like what is the use of static,auto variablescompiler vs interpreterSegregate 0s and 1s in an array?
valid,what do you know about us ?
valid,Tell me about yourself
valid,What is the difference between C and C++
valid,Is a C program faster than a C++ compiled program
valid,What all type of sorting algorithms do you know?
valid,What is UNION in C?
valid,What does the term \xc3\xa2\xe2\x82\xac\xc5\x93object oriented programming mean?\xc3\xa2\xe2\x82\xac\xc2\x9d
valid,What is the difference between overloading and overriding?
valid,What does your current company\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s software do? About the current company?
valid,Compilation of a C/C++ code. He gave me a dummy program. He then asked me to use #ifdef #endif in the header files, then asked its uses
valid,Different segments of memory. Where all can a variable be allocated?
valid,There is a stack where push and pop operation are happening. At any point of time user will query secondMin(). This API should return second minimum present in the stack
valid,Given a number, tell number of bits set in the number in its binary representation. Ex. N = 5, Ans \xc3\xa2\xe2\x82\xac\xe2\x80\x9c 2 (101 has 2 1\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s in it)
valid,Reversing a string recursively, iteratively. He then asked me to rewind the whole stack or trace the recursive version for examples \xc3\xa2\xe2\x82\xac\xe2\x80\x9c \xc3\xa2\xe2\x82\xac\xc5\x93hello\xc3\xa2\xe2\x82\xac\xc2\x9d and \xc3\xa2\xe2\x82\xac\xc5\x93ABCD\xc3\xa2\xe2\x82\xac\xc2\x9d
valid,Cell padding concept in struct/class
valid,Traversal in a tree. Made me code iterative and recursive version of in-order traversal
valid,Height of a tree, diameter of a tree
valid,Difference between static and dynamic bindings
valid,Concept of virtual function in C++. How is a vtable maintained? What are its enteries? Example code where virtual function is used
valid,What is auto, volatile variables? Scopes of variables
valid,References in C++
valid,What is a static function in a C++ class? Why is it used? How to call a static function of class from any part of the code
valid,Given an array of numbers (+ve and \xc3\xa2\xe2\x82\xac\xe2\x80\x9cve), tell the subarray with the highest sum
valid,Allocate a 2-D array using C/C++
valid,Why does a program crash? Valgrind issues etc
valid,Puzzle: 100 floor building and 2 eggs given, find the minimum/maximum number of trys required to find the floor where the egg will break. The answer I gave was 19. He asked me to normalize the solution; we then came up with answer 13
valid,Puzzle: Jumbled N pens and N caps, all caps separated from their pens, all pens have some thickness properties. How would you cap all the pens?
valid,Given a dictionary, how can you represent it in memory? What will be the worst case complexity of a search done on the DS designed?
invalid,About my current work
valid,Tell me the logic of the program written in the first round!Improve it, try for O(n) complexity!
valid,Write a recursive function for nth fibonacci number!Now make some changes in the same code in order to get O(1) complexity in most cases.(Use Dynamic Programming!)
valid,Given a 2-d array with sorted rows and columns, write efficient code for searching a number!Puzzle : a glass, a tap given! fill the glass half without the use of any measuring instruments!
valid,Tell me something about yourself!
valid,How were the interviews?
valid,How were the interview questions?
valid,What are the demerits in SnapDeal?
invalid,Rank Snap Deal?Suggestions?Questions?
valid,Diameter of binary tree. http://www.geeksforgeeks.org/diameter-of-a-binary-tree/
valid,C++ concept like polymorphism,inheritance,function overloading,virtual function,virtual destructor etc
valid,Next greater Element (full code) http://www.geeksforgeeks.org/next-greater-element/
valid,A sorted Array has been rotated r times to the left. find the minimum in least possible time(O(logn) expected). http://www.geeksforgeeks.org/find-minimum-element-in-a-sorted-and-rotated-array/
valid,You have an sorted array,you have to make a balanced binary search tree from it (only approach) and basic insertion and deletion in BST
valid,Detect and remove loop from linked list(only approach). http://www.geeksforgeeks.org/detect-and-remove-loop-in-a-linked-list/
valid,Tell me about yoursel
valid,Check if anagram of a string is palindrome or not
valid,N stair problem.(Dp approach) http://www.geeksforgeeks.org/count-ways-reach-nth-stair/
valid,Search in a row wise and column wise sorted matrix. http://www.geeksforgeeks.org/search-in-row-wise-and-column-wise-sorted-matrix/
valid,Difference between Process and Thread.6. find the number occurring odd number of time (xor solution).http://www.geeksforgeeks.org/find-the-number-occurring-odd-number-of-times/
valid,http://classic-puzzles.blogspot.in/2011/11/25-horses-puzzle.html
invalid,Basic behavioral questions.
valid,why snapdeal
valid,Swap two variables without using third variable
valid,There \xc3\xa2\xe2\x82\xac\xcb\x9cs an array with every element repeated twice except one. Find that element
valid,Implement LRU cache
valid,How will you implement State Machine
valid,Design Problem: You have a database of million records, that needs to be acessed for each operation. That database is updated very rarely. And there are multiple processes that queries the database and operates on the values. How will you design this?
valid,How do you write a callback function?
valid,You have the co-ordinates of two rectangles. Find in minimum number of comparisons, if they are overlapping or not
valid,Write code for implementing Tower of Hanoi problem. What data structures you will use? How will you implement the Move function(that moves the disc)
valid,Discussion on Important c++ concepts: Virtual functions, Run time polymorphism, Static polymorphism, Function overloading, Function overriding, Types of cast in C++, Static_cast, Dynamic_cast, difference between new and malloc, Copy constructor, operator overloading, Templates
valid,Program for Anagrams. Different approcahes( hashing, sorting)
valid,Code for first non-repeating character in the string
valid,Least Common Ancestor for n-ary Tree
invalid,About my projects
valid,Puzzle: You have two train carriages situated at a different point on a infinite train track. The carriage can move up and down , and given that they can only know whether the other train has started from this point or not. Write an algorithm which will make the train carriages meet. The same algorithm should run on both the carriages
valid,virtual functions, auto_ptrs, ordered_map, Hashing, Chaining , Linked list vs array, Inheritance Concepts, static functions, generic programming, Some advanced concepts: CRTP(Curiously Recurring template problem), run time polymorphism
valid,Use of Static keyword in different circumstances
valid,Design problem: You have a socket connection on client side. And that socket connection receives million ticks per second for every stocks. Suppose you have 50 stocks. So the value of each stock is changing 10,000 times in a second. So this needs to be shown to the client in the GUI. And also Mean, Median,Highest, Lowest needs to be shown. How will you design in the most efficient way
valid,Why do you want to leave
valid,Why does a program crash? Valgrind issues etc
valid,Puzzle: Jumbled N pens and N caps, all caps separated from their pens, all pens have some thickness properties. How would you cap all the pens?
valid,Puzzle: 100 floor building and 2 eggs given, find the minimum/maximum number of trys required to find the floor where the egg will break. The answer I gave was 19. He asked me to normalize the solution; we then came up with answer 13
valid,Allocate a 2-D array using C/C++
valid,Given a dictionary, how can you represent it in memory? What will be the worst case complexity of a search done on the DS designed?6. About my current workur current company?2. What do you know about us?
valid,Tell me about yourself
valid,What is the difference between C and C++
valid,Is a C program faster than a C++ compiled program
valid,What is UNION in C?
valid,What all type of sorting algorithms do you know?
valid,What does the term \xc3\xa2\xe2\x82\xac\xc5\x93object oriented programming mean?\xc3\xa2\xe2\x82\xac\xc2\x9d
valid,What is the difference between overloading and overriding?
valid,About my present work.I was then called for face to face interviews
valid,What does your current company\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s software do? About the current company?
valid,Compilation of a C/C++ code. He gave me a dummy program. He then asked me to use #ifdef #endif in the header files, then asked its uses
valid,Different segments of memory. Where all can a variable be allocated?
valid,There is a stack where push and pop operation are happening. At any point of time user will query secondMin(). This API should return second minimum present in the stack
valid,Given a number, tell number of bits set in the number in its binary representation. Ex. N = 5, Ans \xc3\xa2\xe2\x82\xac\xe2\x80\x9c 2 (101 has 2 1\xc3\xa2\xe2\x82\xac\xe2\x84\xa2s in it)
valid,Reversing a string recursively, iteratively. He then asked me to rewind the whole stack or trace the recursive version for examples \xc3\xa2\xe2\x82\xac\xe2\x80\x9c \xc3\xa2\xe2\x82\xac\xc5\x93hello\xc3\xa2\xe2\x82\xac\xc2\x9d and \xc3\xa2\xe2\x82\xac\xc5\x93ABCD\xc3\xa2\xe2\x82\xac\xc2\x9d
valid,Cell padding concept in struct/class
valid,Traversal in a tree. Made me code iterative and recursive version of in-order traversal
valid,Difference between static and dynamic bindings
valid,Concept of virtual function in C++. How is a vtable maintained? What are its enteries? Example code where virtual function is used
valid,What is auto, volatile variables? Scopes of variables
valid,References in C++
valid,What is a static function in a C++ class? Why is it used? How to call a static function of class from any part of the code
valid,Given an array of numbers (+ve and \xc3\xa2\xe2\x82\xac\xe2\x80\x9cve), tell the subarray with the highest sum
valid,Height of a tree, diameter of a tree
valid,Tell me about yourself
invalid,Little discussion on the project
valid,Find the LCA of a binary tree in place
valid,About virtual constructors and destructors
valid,Design a recommendation system as you see on e-commerce sites recommending the items for you to buy. You just have to tell the ideas and design the classes accordingly
valid,Design a product review system with posts being categorized as a review, question or an answer. Also consider the case of upvotes, downvotes, like, share, comment
valid,Given a dictionary you have to list the anagrams
valid,In array find sum closest to zero
valid,Knapsack and coin change problem
valid,In array find max product of three numbers
valid,DBMS queries on SELF JOIN and Cartesian Product
valid,Which e-commerce site you normally purchase from and why?
valid,If a shipment is changed in between i.e. product is replaced by say, a soap how will you tackle this problem?
valid,Tell me about yourself
valid,What is your real goal in life
valid,Your manager is being bossy. How will you tackle this situation
valid,Toughest challenge you faced in your college
valid,You are the favorite of your manager but others are being jealous. What will you do?
valid,What is armature reaction?
valid,Tell me something about induction motor
valid,Draw the phasor diagram of transformer
valid,What are turbo generators,hydro generators?
valid,Can we call an induction motor a transformer?
valid,What is digital signal processing?
valid,Tell me some theorems you learnt in DSP
valid,Introduce yourself
valid,What are your hobbies?
valid,Why do you think you suit NMDC?
valid,What are your negative aspects?
valid,Was electrical engineering your first choice?
valid,Do you know anyone who works with NMDC?
valid,What are common risks at NMDC? And how to face?
valid,What is good customer service?
valid,What is the most recent skill you have learned that related to this job?
valid,Why should NMDC hire you?
valid,Give examples of situations where you initiated ideas
valid,What do people most often criticize about you?
valid,Give some instances in which you anticipated problems
valid,What can you contribute to NMDC?
valid,Give me examples of projects or tasks you started on your own
invalid,A case analysis on a home grown food chain was asked
invalid,basic questions like \xc3\xa2\xe2\x82\xac\xc5\x93About myself\xc3\xa2\xe2\x82\xac\xc2\x9d
valid,Tell me something about your family
valid,how I will add value to Cognizant brand
valid,Why I wish to join Cognizant and other CV based questions
invalid,Curricular activities
invalid,B-school engagements
valid,Family
valid,Other achievements on CV
valid,queried about location constraints
valid,Tell me about yourself
valid,What department of CBC are you aiming at?
valid,Why Consulting?
valid,Strengths
valid,Which work function of CBC do you want to go to?
valid,Why CBC?
valid,How will you utilize your strengths as a CBC consultant?
valid,Any issues with locations of work?
invalid,About my summer project-Marketing questions based on Summer project (positioning, pricing strategy)
invalid,Work experience related
valid,Technology aspects of OS platforms for Telecom,
valid,leadership roles at work ,
valid,Projects completed in both companies that I have worked for
valid,What is your one biggest learning here?(in my B-School)
valid,What value add did MBA education provide you? Something on why I want to join Cognizant- since I had a previous experience with Cognizant
valid,Why Cognizant?
valid,Why do you want to return?
valid,What were your last ratings during your stint at Cognizant?
valid,What is the revenue model of a pharma company?
valid,How do profit percentages vary in manufacturing a generic vs a non-generic drug?
valid,What are the pros and cons of being a generic manufacturer vis a vis a non generic manufacturer?
valid,Where do you see Indian pharma companies in the next decade? What are their expansion plans? Questions were based mostly on the consulting projects that I mentioned in the CV
valid,Tell me about yourself
valid,What department of CBC are you aiming at?
valid,Why Consulting?
valid,Strengths
valid,Which work function of CBC do you want to go to?
valid,Why CBC?
valid,How will you utilize your strengths as a CBC consultant?
valid,Any issues with locations of work?
invalid,About my summer project
invalid,Marketing questions based on Summer project (positioning, pricing strategy)
invalid,Work experience related
valid,Technology aspects of OS platforms for Telecom
valid,leadership roles at work
valid,Projects completed in both companies that I have worked for
valid,Why consult and why ATK
valid,Whether strategy or implementation
valid,Was I interviewing with I Banks or not
valid,Preference of consult vs i banks and why?
valid,Proof of team work
valid,Case of a company wanting to enter frozen foods business. How would you go about collecting relevant info, what kind of analysis would you do?
valid,Describe a typical day at IIM
invalid,She gave me situations and asked me to react to those-the situations
valid,Why consult?
valid,Why atk?
valid,Group skills are very important for us given your background you seem to appreciate doing individual works?
valid,As a consult where do you see yourself in another 5 years?
valid,Which is the last book you read? What did you find appealing aboutit?
valid,What are your skills?
valid,Do you mind travelling?
valid,There is a chemical company which wants to diversify into IT? Ask questions to come up with two or three recommendations?
valid,Personal Questions-why consult?
valid,strengths
valid,questions on career objectives(given in cv)
valid,Why dont you tell me something about ur engg/Btech backround?
invalid,Your summer training project looks interesting, etc,etc. Practical implementations of your training project ?
valid,What is your idea of the problems facing SAIL ?( training ) . Discussed the McKinsey report on SAIL
valid,What is your idea of consulting ?
valid,Why not higher studies after IIT ? why MBA ? Why operations ?
valid,What field do u like in our work ? Why ?( I said automobiles)
valid,Discussed a couple of  cases ? (Rangbharati/Toyota/GM/Matsushita)
valid,What other companies have you got short listed to ? why I-banks?
valid,What did u do for your maths olympiad initial round practise ?
valid,It seemed he had done a real life case for Indian Railways sometime as part of his consulting career. He gave me the outline of the case, just the bare facts, rest I was supposed to ask him. Any questions \xc3\xa2\xe2\x82\xac\xe2\x80\x9d strategy related/prices/future/options/
valid,He asked me to draw a decision tree form for the case . What are the major issues ? What are the options ?
valid,How do u perform the cost analysis ?
valid,Assign probabilities to different outcomes and fold back
valid,- What is the Bottleneck ?
valid,- what about operating costs ?
valid,- fixed and variable costs ?
valid,- expected revenue figures ?
valid,Tell me about yourself
valid,Why are you going in for an MBA at this point of time
valid,What do you know about consulting
valid,Did you attend our PPT yesterday? What did you like about it
valid,Please give me a few points on how to omprove our PPT for next year
valid,Are you more interested in strategic consulting or operations consulting
valid,Is there any particular industry you would prefer to consult for
valid,Do you have any geographical preferences
valid,What other companies have you interviewed with today
valid,What is your preference \xc3\xa2\xe2\x82\xac\xe2\x80\x9c where would you like to do your summers
valid,Do you think there is anything distinct about ATK vis-a-vis other consulting firms
valid,Beverage Major \xc3\xa2\xe2\x82\xac\xe2\x80\x9c Wants to enter the country
valid,Estimate the potential and demand for its drinks
valid,What should be the right approach to do this?
valid,\xc3\xa2\xe2\x82\xac\xc5\x93What they look for is your approach to the problem. Not the exactness of your solution\xc3\xa2\xe2\x82\xac\xc2\x9d Need not know exact figures. (But demographic details, industry figures help)
invalid,Pharma company
invalid,Given: current trends
valid,Given : Their product details, relationships with suppliers, target customers
valid,How should they grow?
valid,Approaches
invalid,Theatre company
valid,- Is running into huge losses
valid,- Popular \xc3\xa2\xe2\x82\xac\xe2\x80\x9c shows whenever run, run to fill capacity
valid,- Scenario given: What are your recommendations?
valid,They want you to identify items of cost and items of revenue. Then think about how to manage them. Options: - Leasing, Renting - Graded seating - More shows \xc3\xa2\xe2\x82\xac\xe2\x80\x9c \xc3\xa2\xe2\x82\xac\xc5\x93effect of stars\xc3\xa2\xe2\x82\xac\xc2\x9d They want you to pinpoint the key issues perfectly
valid,What kind of leader do you see yourself to be?
valid,What kind of leader do you see yourself to be?
invalid,A bit about projects
valid,Invite questions from you \xc3\xa2\xe2\x82\xac\xe2\x80\x9c Important to be keen on this
valid,Began with some general background questions regarding interest in consulting
invalid,General questions were followed by a case
valid,He began with a simple question about parameters that a foreign bank should look at before deciding to set up shop in India
valid,he asked me to behave like I was a consultant talking to the CEO of the bank in question and give him my summary of the recommendations we had just talked about
valid,informal conversation with another consultant
invalid,questions regarding my work at JPM and my interests
invalid,Pure selling
invalid,General gossip round
valid,what was I doing here in IIM
valid,how did I reach here (life story till date etc)
valid,what did I want to do, how was I coping up with life in IIM
valid,Started off with some general stuff about background and then quickly went on to a case of where a foreign back wanted to enter Indian market and has asked me to work it out
valid,There are N nuts and N bolts, u have to find all the pairs of nuts and bolts in minimum no. of iteration (comparision). All the nuts/bolts might have different diameter
valid,There is a paragraph having million characters. You have to find out the first non \xc3\xa2\xe2\x82\xac\xe2\x80\x9crepeating character in the complete paragraph. For example:- aab cld jb then answer should be :- c
valid,Any base to any base conversion i.e base 11 to base 7
invalid,Questions related to Multi-Threading i.e synchronization or usage of Volatile (Basic questions)
invalid,Questions related to projects from my resume
invalid,Questions related to Multi-Threading i.e synchronization or usage of Volatile (Basic questions)
invalid,Questions related to projects from my resume
valid,Garbage collection algorithms
valid,As I had Java background, so he asked me New features in JAVA 8
valid,There are chocolates each worth x. You have total amount y with you. And you can exchange z wrappers for 1 chocolate. So in this way how many chocolates he can eat
valid,Declare a 2D array using pointer notation
invalid,A brief discussion about my work
valid,Suppose there are packages having volume m and there are n packets having volume a,b,c\xc3\xa2\xe2\x82\xac\xc2\xa6. each having volume less than m. So you need to find out the minimum no. of packets required to wrap up the products
valid,There are N cities spread in the form of circle. There is road connectivity b/w city 1 and 2, then city 2 and 3 and so on till city n and 1. Each ith city has a petrol pump where you can pick pith petrol and distance between ith and i+1 th city is di . Assume you car has a mileage of 1km/litre. You have to find out if there exist any city, if you start from that city then you can visit all the cities either in the clockwise or anticlockwise fashion
valid,Questions a bit related about my personal life i.e schooling activites or hobbies
invalid,Questions pertaining to the best work(projects) that I did
valid,Things that every software programmer should know and he asked me to convince him
valid,What do you do to keep urself updated on the technology
valid,Asked me about any open source projects which I had and put in GIT\xc3\xa2\xe2\x82\xac\xc2\xa6\xc3\xa2\xe2\x82\xac\xc2\xa6 told him about all of my projects
invalid,Few more questions related to technology
valid,given an array. write a function to find if the array satisfies the condition min^2 < max is satisfied. That is it should return 0 or 1 accordingly
valid,Given an operation delfirst() which deletes the first element of the array. Given an array. how many such operation is needed to get an array which satisfies the condition 1
valid,Given an operation delfirst() and dellast() which deletes the first element and last element of the array respectively. Given an array. how many such operations is needed to get an array which satisfies the condition 1
valid,Given a SLL find the longest palindrome in it
valid,http://www.geeksforgeeks.org/median-of-stream-of-integers-running-integers/Discussed corner cases
valid,http://www.geeksforgeeks.org/clone-binary-tree-random-pointers/Discussed different approaches
valid,Suppose you receive 10 million mails in 10 seconds. How will you process them and find whatis problem to receive these many mails. Discussed different approaches
valid,longest palindromic substring of given string. I gave DP solution, he ask me don\xc3\xa2\xe2\x82\xac\xe2\x84\xa2t use DP. Proper code was required
valid,Find element in an array which have elements in first increasing and then decreasing order. (code)
valid,Find if two nodes in a tree are cousins or not. (code)
valid,Find sum of all numbers that are formed from root to leaf path (code) expected time complexity O(n)
valid,Zig-Zag level order traversal
valid,Preorder traversal without using recursion
invalid,Other questions related to my work in my current company
invalid,Grilled me about my current company and current work
valid,Print top view of a binary tree (code)
valid,Why amazon?
valid,Find median of an unsorted array. (code)
invalid,General discussion on heaps
valid,A stream of characters is coming, at any moment you have to tell \xc3\xa2\xe2\x82\xac\xcb\x9ck\xc3\xa2\xe2\x82\xac\xe2\x84\xa2 elements closest to a given number (code)
valid,Design a system which would make a schedule for a user to complete a book in given number of days. A pre condition is that the schedule for every day should end at the end of some chapter
